datetime,charlie kirk_intensity,charlie kirk shot_intensity,charlie kirk shooter_intensity,la fires_intensity,tariffs_intensity,gene hackman_intensity,tariff_intensity,trump tariffs_intensity,trump approval rating_intensity,pope leo xiv_intensity,shedeur sanders_intensity,government shutdown_intensity,trump epstein_intensity,federal employees_intensity,shutdown_intensity,kash patel_intensity,xrp price_intensity,measles_intensity,f1 movie_intensity,switch 2_intensity,ai news_intensity,trump health_intensity,medicaid_intensity,greenland_intensity,nintendo switch 2_intensity,department of education_intensity,pete hegseth_intensity,powerball_intensity,pope francis_intensity,zelensky_intensity,xrp news_intensity,hulk hogan_intensity,stock market today_intensity,politico_intensity,bitcoin price_intensity,blake lively_intensity,chatgpt_intensity,harvard_intensity,justin baldoni_intensity,stock market_intensity,tesla stock_intensity,immigration_intensity,us news_intensity,aaron rodgers_intensity,pakistan_intensity
2025-01-11,0.0164,0.0,0.0,0.092,0.1285,0.0,0.0301,0.0082,0.0,0.0,0.0091,0.0055,0.0,0.01,0.0346,0.0282,0.0009,0.0182,0.0,0.01,0.0064,0.0018,0.0465,0.1759,0.0091,0.0519,0.0191,0.0082,0.0392,0.0392,0.0,0.0018,0.0027,0.031,0.0091,0.0036,0.0383,0.0437,0.0055,0.0592,0.0018,0.3709,0.0273,0.0146,0.0529
2025-01-12,0.0042,0.0,0.0,0.0832,0.1227,0.0,0.0395,0.031,0.0,0.0,0.0042,0.0071,0.0,0.0056,0.0268,0.0409,0.0014,0.0014,0.0,0.0056,0.0028,0.0,0.0748,0.0945,0.0042,0.0465,0.0663,0.0155,0.141,0.0254,0.0,0.0028,0.0,0.0395,0.0056,0.0056,0.031,0.0395,0.0014,0.0465,0.0014,0.189,0.0183,0.0141,0.0663
2025-01-13,0.0076,0.0,0.0,0.0585,0.1862,0.0,0.0752,0.0304,0.0,0.0,0.0532,0.0038,0.0,0.0114,0.0304,0.022,0.0015,0.0091,0.0,0.0137,0.0046,0.003,0.0828,0.0767,0.0091,0.0479,0.1193,0.0091,0.035,0.0403,0.0,0.0046,0.0023,0.0464,0.0068,0.019,0.0403,0.0752,0.0061,0.0707,0.0114,0.3229,0.0205,0.0501,0.0357
2025-01-14,0.0016,0.0,0.0,0.0763,0.2194,0.0,0.0967,0.044,0.0,0.0,0.059,0.0063,0.0,0.0134,0.037,0.0149,0.0,0.0259,0.0,0.0086,0.0008,0.0016,0.0826,0.0692,0.0055,0.0511,0.3688,0.0134,0.0409,0.0189,0.0,0.0047,0.0055,0.0432,0.0086,0.0094,0.0503,0.1258,0.0055,0.0834,0.0039,0.3279,0.0102,0.0071,0.0197
2025-01-15,0.0086,0.0,0.0,0.1025,0.2635,0.0007,0.0918,0.0226,0.0007,0.0,0.0459,0.022,0.0,0.0206,0.0872,0.0758,0.002,0.0126,0.0,0.0067,0.0007,0.022,0.0991,0.1198,0.0033,0.0725,0.3007,0.0086,0.0373,0.0166,0.0,0.002,0.004,0.0792,0.0047,0.0106,0.0532,0.1091,0.0113,0.0991,0.0073,0.4917,0.014,0.0319,0.0366
2025-01-16,0.0325,0.0,0.0,0.0723,0.2536,0.0029,0.091,0.0275,0.0,0.0,0.0094,0.0108,0.0,0.0397,0.0686,0.0571,0.0014,0.0108,0.0,0.0643,0.0051,0.0101,0.1322,0.0715,0.0556,0.0867,0.1308,0.0043,0.047,0.0181,0.0,0.0029,0.0123,0.104,0.0014,0.0405,0.0759,0.1286,0.0397,0.0845,0.0072,0.4733,0.0188,0.0152,0.0694
2025-01-17,0.0392,0.0,0.0,0.0392,0.346,0.0006,0.1194,0.0244,0.0013,0.0,0.0051,0.009,0.0,0.0347,0.0764,0.0327,0.0026,0.0122,0.0,0.0738,0.0045,0.0013,0.1932,0.1014,0.0514,0.0841,0.0745,0.0039,0.0507,0.0103,0.0,0.0103,0.0263,0.0533,0.0077,0.1682,0.0359,0.1188,0.1669,0.1521,0.0006,0.7306,0.0173,0.0244,0.0918
2025-01-18,0.014,0.0,0.0,0.0264,0.2036,0.0031,0.0816,0.0148,0.0008,0.0,0.0078,0.0132,0.0,0.0365,0.1236,0.0171,0.0016,0.0093,0.0,0.021,0.007,0.0,0.0855,0.0847,0.0109,0.0676,0.1041,0.0093,0.0109,0.0218,0.0,0.0723,0.0016,0.0513,0.0039,0.0288,0.056,0.0684,0.0264,0.0995,0.0039,0.6994,0.0202,0.0132,0.08
2025-01-19,0.0199,0.0,0.0,0.0987,0.2772,0.0,0.0969,0.0978,0.0009,0.0,0.0045,0.0054,0.0,0.0217,0.2781,0.0199,0.0027,0.0118,0.0,0.0072,0.0018,0.0,0.0462,0.0525,0.0072,0.0462,0.0534,0.0163,0.0553,0.019,0.0,0.0679,0.0,0.0507,0.0036,0.01,0.0109,0.0707,0.0054,0.0987,0.0018,0.674,0.0154,0.0045,0.0263
2025-01-20,0.0069,0.0,0.0,0.0203,0.7329,0.0005,0.2603,0.0491,0.0,0.0,0.0021,0.0149,0.0,0.1398,0.0651,0.0709,0.0032,0.0048,0.0,0.0064,0.0085,0.0,0.0699,0.1435,0.0053,0.0517,0.1227,0.008,0.0923,0.0155,0.0,0.0389,0.0027,0.0651,0.0075,0.0048,0.0256,0.0576,0.0032,0.1157,0.0011,1.0689,0.0096,0.0043,0.0267
2025-01-21,0.0056,0.0,0.0,0.023,0.642,0.0014,0.2281,0.0738,0.0009,0.0,0.0038,0.0075,0.0,0.1477,0.0898,0.0249,0.0033,0.0071,0.0,0.0066,0.0019,0.0024,0.0917,0.1228,0.0061,0.0564,0.2018,0.0052,0.0437,0.0329,0.0005,0.008,0.0042,0.0437,0.0089,0.0061,0.0395,0.1317,0.0061,0.087,0.0061,1.2623,0.0165,0.0056,0.0296
2025-01-22,0.0069,0.0,0.0,0.017,0.5123,0.0005,0.2043,0.0654,0.0011,0.0,0.0064,0.0069,0.0,0.1739,0.1064,0.0367,0.0011,0.0112,0.0,0.0138,0.0064,0.0053,0.1346,0.0686,0.0117,0.0771,0.2037,0.0106,0.0543,0.0298,0.0,0.0048,0.0117,0.0394,0.0069,0.0298,0.1016,0.1309,0.0261,0.0989,0.008,1.3687,0.0186,0.0186,0.0383
2025-01-23,0.0051,0.0,0.0,0.0204,0.3603,0.0,0.1955,0.0449,0.002,0.0,0.0117,0.0051,0.0,0.124,0.0577,0.0286,0.0036,0.0122,0.0005,0.0061,0.0015,0.0046,0.1261,0.0541,0.0041,0.0903,0.1179,0.0036,0.0235,0.0209,0.001,0.0031,0.0214,0.0521,0.0077,0.0306,0.0868,0.1062,0.0291,0.1153,0.0031,1.1029,0.0179,0.0194,0.0439
2025-01-24,0.0137,0.0,0.0,0.0232,0.3922,0.0005,0.1942,0.0575,0.0005,0.0,0.009,0.0222,0.0,0.0681,0.0496,0.047,0.0037,0.01,0.0005,0.0079,0.0079,0.0063,0.0802,0.0359,0.0037,0.1203,0.1842,0.0053,0.0496,0.0264,0.0,0.0058,0.0148,0.0517,0.0042,0.0174,0.0459,0.1546,0.0158,0.1446,0.0032,1.0081,0.0153,0.009,0.0464
2025-01-25,0.0199,0.0,0.0,0.0208,0.2852,0.0018,0.0987,0.0362,0.0009,0.0,0.0163,0.0018,0.0,0.0915,0.0208,0.1313,0.0,0.0163,0.0,0.0072,0.0172,0.0063,0.0842,0.0534,0.0045,0.105,0.6338,0.01,0.0362,0.0199,0.0,0.0009,0.0,0.0507,0.0045,0.0145,0.0272,0.1775,0.0154,0.1023,0.0036,1.0368,0.0652,0.0109,0.0353
2025-01-26,0.0029,0.0,0.0,0.0069,0.457,0.001,0.1478,0.0254,0.0029,0.0,0.0147,0.0,0.0,0.0577,0.0157,0.0108,0.0059,0.0098,0.0,0.0059,0.0,0.002,0.0656,0.1341,0.0029,0.0362,0.184,0.0069,0.0548,0.0147,0.001,0.0039,0.001,0.0538,0.001,0.0049,0.0303,0.09,0.0029,0.0754,0.0049,0.9013,0.0206,0.0117,0.0626
2025-01-27,0.005,0.0,0.0,0.0115,0.681,0.0007,0.2698,0.101,0.0014,0.0,0.0043,0.005,0.0,0.0469,0.0411,0.0483,0.0036,0.0462,0.0,0.0058,0.0137,0.0014,0.0931,0.0765,0.0058,0.062,0.2207,0.0058,0.0671,0.0231,0.0007,0.0043,0.0022,0.0541,0.0007,0.0332,0.1847,0.0844,0.0043,0.1082,0.0043,0.994,0.0123,0.0072,0.0527
2025-01-28,0.0032,0.0,0.0,0.0189,0.6041,0.0016,0.3031,0.0888,0.0016,0.0,0.0084,0.0189,0.0,0.1224,0.0835,0.1208,0.0042,0.1303,0.0,0.0089,0.0079,0.0147,0.3756,0.1287,0.0058,0.1093,0.3189,0.01,0.0242,0.0163,0.0005,0.0032,0.0021,0.093,0.0063,0.0657,0.2711,0.1566,0.0762,0.1424,0.0037,1.2162,0.0205,0.0126,0.0378
2025-01-29,0.0048,0.0,0.0,0.0131,0.3869,0.0,0.1474,0.06,0.0042,0.0,0.0149,0.044,0.0006,0.4552,0.1337,0.0404,0.0006,0.1218,0.0,0.003,0.0095,0.0606,0.9395,0.0802,0.0024,0.1753,0.293,0.0071,0.0238,0.0196,0.0,0.0018,0.0226,0.0695,0.0018,0.0351,0.1824,0.148,0.0339,0.1432,0.0089,1.1784,0.0232,0.0071,0.0398
2025-01-30,0.0038,0.0,0.0,0.0076,0.3337,0.007,0.122,0.028,0.0038,0.0,0.0083,0.0044,0.0006,0.157,0.0451,0.2822,0.0013,0.1176,0.0,0.0057,0.0222,0.0356,0.3846,0.0566,0.0025,0.1437,0.7106,0.0057,0.0172,0.0165,0.0,0.0038,0.0261,0.0337,0.0057,0.0108,0.0915,0.1112,0.0089,0.1665,0.0159,0.9255,0.0178,0.0064,0.0242
2025-01-31,0.0018,0.0,0.0,0.1641,0.6506,0.0012,0.3647,0.1409,0.0018,0.0,0.0137,0.0024,0.0,0.157,0.0424,0.1826,0.0048,0.1474,0.0006,0.0113,0.0143,0.0316,0.2173,0.068,0.0066,0.083,0.4871,0.0024,0.0161,0.0161,0.0012,0.003,0.0113,0.0722,0.0054,0.0125,0.1582,0.2065,0.0107,0.1128,0.003,0.8398,0.0143,0.0173,0.0716
2025-02-01,0.0011,0.0,0.0,0.0152,0.7149,0.0011,0.352,0.1749,0.0011,0.0,0.0098,0.0033,0.0,0.1749,0.0217,0.1326,0.0022,0.0196,0.0,0.0076,0.0098,0.0076,0.1249,0.0598,0.0022,0.0598,0.4183,0.0054,0.0185,0.0413,0.0,0.0022,0.0011,0.0424,0.0033,0.0076,0.0771,0.1119,0.0087,0.1206,0.0076,0.8333,0.0228,0.0087,0.0532
2025-02-02,0.0036,0.0,0.0,0.0308,1.1198,0.0018,0.7982,0.4376,0.0009,0.0,0.0045,0.0036,0.0,0.0761,0.1069,0.0217,0.0,0.0226,0.0,0.0018,0.0027,0.0045,0.0834,0.0353,0.0009,0.0553,0.1649,0.0082,0.0299,0.0344,0.0,0.0009,0.0,0.0236,0.0054,0.0199,0.0444,0.0761,0.019,0.1114,0.0063,0.838,0.0091,0.0045,0.0272
2025-02-03,0.0027,0.0,0.0,0.0919,1.4589,0.0027,0.9033,0.6029,0.0016,0.0,0.0107,0.0064,0.0,0.0516,0.1381,0.0247,0.0027,0.0629,0.0,0.0048,0.0048,0.0161,0.137,0.0715,0.0043,0.0994,0.0881,0.0027,0.0183,0.022,0.0005,0.0032,0.0279,0.0279,0.0081,0.0623,0.0731,0.086,0.0613,0.2413,0.0253,1.0027,0.0124,0.0038,0.0543
2025-02-04,0.0062,0.0,0.0,0.0123,1.2292,0.0006,0.758,0.4601,0.0006,0.0,0.0093,0.0241,0.0,0.2621,0.0826,0.0426,0.0006,0.058,0.0,0.021,0.0086,0.0216,0.1622,0.0678,0.0062,0.3016,0.1085,0.0056,0.008,0.0197,0.0,0.0019,0.0136,0.0913,0.0099,0.0481,0.0715,0.1141,0.0358,0.1314,0.0031,1.0361,0.0123,0.0062,0.0247
2025-02-05,0.0048,0.0,0.0,0.0161,0.8713,0.0005,0.5612,0.1964,0.0005,0.0,0.0086,0.0317,0.0,0.3418,0.2103,0.0263,0.0021,0.0172,0.0,0.0113,0.0048,0.0048,0.1948,0.1384,0.007,0.3283,0.1159,0.0043,0.0118,0.0215,0.0,0.0027,0.0123,0.0875,0.0043,0.0783,0.0655,0.1636,0.0542,0.0993,0.0027,0.8654,0.0172,0.008,0.0467
2025-02-06,0.0035,0.0,0.0,0.0045,0.5252,0.0005,0.3289,0.0974,0.002,0.0,0.0134,0.0035,0.0,0.2913,0.0529,0.0554,0.0025,0.0119,0.0,0.0099,0.004,0.001,0.1474,0.0767,0.0084,0.2171,0.1063,0.0059,0.0247,0.0163,0.0,0.002,0.0104,0.1078,0.0064,0.0841,0.0757,0.1706,0.0767,0.09,0.0069,0.8348,0.0134,0.0287,0.0391
2025-02-07,0.0032,0.0,0.0,0.0032,0.56,0.0006,0.2803,0.0789,0.0013,0.0,0.0063,0.0082,0.0,0.2412,0.0928,0.0347,0.0038,0.0114,0.0,0.0069,0.0114,0.0019,0.1591,0.0486,0.0051,0.2374,0.0758,0.0038,0.0183,0.0259,0.0006,0.0038,0.0063,0.0998,0.0088,0.024,0.0713,0.1275,0.0215,0.0878,0.0032,0.7362,0.0253,0.0234,0.036
2025-02-08,0.0023,0.0,0.0,0.009,0.4543,0.0008,0.2802,0.0768,0.0,0.0,0.006,0.0625,0.0,0.1537,0.1153,0.0527,0.0008,0.055,0.0,0.0008,0.0113,0.0008,0.171,0.0625,0.0008,0.2885,0.1077,0.0045,0.0429,0.0173,0.0008,0.0045,0.0015,0.1492,0.006,0.0316,0.0347,0.1009,0.0203,0.107,0.0121,0.6855,0.0226,0.006,0.0249
2025-02-09,0.0035,0.0,0.0,0.0009,0.3176,0.0,0.1726,0.0449,0.0026,0.0,0.0043,0.0207,0.0,0.1554,0.0414,0.0337,0.0035,0.0078,0.0009,0.0009,0.0,0.0,0.044,0.0708,0.0009,0.1087,0.0561,0.0104,0.0095,0.0155,0.0,0.0035,0.0026,0.0397,0.0086,0.0216,0.0483,0.0768,0.0112,0.0457,0.0,0.3323,0.019,0.1312,0.0345
2025-02-10,0.0036,0.0,0.0,0.0014,0.7727,0.0,0.4962,0.0924,0.0043,0.0,0.0064,0.0092,0.0,0.1265,0.0718,0.0114,0.0014,0.0263,0.0007,0.0078,0.0057,0.0014,0.0896,0.1194,0.005,0.1998,0.0924,0.0057,0.0199,0.0178,0.0,0.0078,0.0036,0.0988,0.0043,0.0761,0.0818,0.1528,0.0348,0.0618,0.0021,0.5481,0.0185,0.0441,0.0391
2025-02-11,0.0033,0.0,0.0,0.0027,0.7039,0.0,0.4258,0.1751,0.0044,0.0,0.0071,0.0208,0.0,0.2074,0.0887,0.0301,0.0,0.0482,0.0,0.0044,0.0071,0.0027,0.1336,0.0706,0.0033,0.1702,0.1675,0.0109,0.1062,0.0279,0.0,0.0022,0.0099,0.0936,0.0027,0.0197,0.1505,0.2261,0.0126,0.0832,0.0224,0.7312,0.0115,0.0148,0.0257
2025-02-12,0.0032,0.0,0.0,0.0269,0.5958,0.0011,0.3412,0.1319,0.0032,0.0,0.0108,0.0231,0.0005,0.1916,0.1265,0.0199,0.0016,0.0581,0.0011,0.0027,0.0194,0.0016,0.1372,0.1141,0.0022,0.1722,0.2567,0.0065,0.0587,0.0517,0.0005,0.0043,0.0167,0.0775,0.0027,0.0124,0.0608,0.113,0.0065,0.0716,0.0113,0.698,0.0237,0.0431,0.0387
2025-02-13,0.0025,0.0,0.0,0.0101,0.4589,0.0,0.2446,0.0666,0.0,0.0,0.0084,0.0042,0.0,0.2995,0.0793,0.0565,0.0,0.0633,0.0,0.0051,0.0127,0.0582,0.1645,0.0531,0.0034,0.2843,0.232,0.0059,0.054,0.124,0.0,0.0042,0.0169,0.0472,0.0017,0.0143,0.0919,0.0768,0.0101,0.0709,0.0101,0.5179,0.016,0.043,0.0278
2025-02-14,0.0037,0.0,0.0,0.0124,0.5412,0.0012,0.3184,0.0937,0.0012,0.0,0.0143,0.0062,0.0,0.2476,0.1167,0.0112,0.0031,0.0844,0.0,0.0043,0.0112,0.0465,0.2427,0.0496,0.0031,0.2582,0.2476,0.0025,0.1179,0.1074,0.0,0.0019,0.0205,0.0627,0.0062,0.0112,0.0571,0.2172,0.0106,0.0974,0.0025,0.7528,0.0211,0.0726,0.0509
2025-02-15,0.0043,0.0,0.0,0.0029,0.3043,0.0007,0.1246,0.0775,0.0029,0.0,0.0116,0.0072,0.0,0.2833,0.0319,0.0109,0.0051,0.0485,0.0,0.0036,0.0,0.0072,0.1348,0.037,0.0022,0.1355,0.1949,0.0036,0.1522,0.0732,0.0,0.0029,0.0,0.0464,0.0065,0.0101,0.0725,0.1333,0.0116,0.0667,0.0065,0.5876,0.0152,0.008,0.037
2025-02-16,0.0024,0.0,0.0,0.0031,0.2934,0.0,0.1577,0.033,0.0016,0.0,0.0094,0.0094,0.0,0.1577,0.0486,0.0055,0.0008,0.0157,0.0,0.0071,0.0,0.0,0.0588,0.0251,0.0047,0.0557,0.1098,0.0071,0.0643,0.0777,0.0016,0.0031,0.0,0.0447,0.0008,0.0031,0.0369,0.0424,0.0024,0.0494,0.0055,0.3288,0.0165,0.0086,0.0196
2025-02-17,0.0029,0.0,0.0,0.0043,0.2476,0.0,0.1098,0.038,0.0014,0.0,0.0036,0.0129,0.0,0.2017,0.0524,0.0079,0.0007,0.0237,0.0014,0.0043,0.0043,0.0014,0.071,0.0244,0.0036,0.0997,0.132,0.0057,0.0861,0.0954,0.0,0.0036,0.0165,0.0502,0.005,0.1033,0.061,0.0725,0.0854,0.0897,0.0029,0.2863,0.0144,0.01,0.0244
2025-02-18,0.002,0.0,0.0,0.0039,0.2663,0.0007,0.1273,0.0418,0.002,0.0,0.0072,0.0052,0.0,0.137,0.0555,0.0163,0.0013,0.0855,0.0,0.0065,0.0033,0.0013,0.1625,0.0405,0.0052,0.1462,0.0848,0.0052,0.122,0.06,0.0,0.002,0.0039,0.0731,0.0065,0.0189,0.0607,0.0731,0.015,0.0835,0.0007,0.65,0.0111,0.0059,0.032
2025-02-19,0.0045,0.0,0.0,0.005,0.37,0.0005,0.2293,0.0856,0.0065,0.0,0.01,0.0065,0.0,0.2118,0.0345,0.0386,0.003,0.1182,0.001,0.0035,0.0115,0.003,0.2538,0.0325,0.002,0.1692,0.1332,0.004,0.1457,0.1342,0.0005,0.002,0.0115,0.0831,0.0085,0.0396,0.0586,0.0796,0.035,0.0926,0.0035,0.6263,0.0225,0.011,0.0956
2025-02-20,0.0044,0.0,0.0,0.0098,0.3692,0.0,0.2073,0.1175,0.0307,0.0,0.0098,0.0098,0.0,0.279,0.0454,0.1741,0.002,0.0259,0.001,0.0029,0.0161,0.002,0.2512,0.0351,0.001,0.239,0.2653,0.0073,0.0746,0.1253,0.0,0.0029,0.0146,0.1297,0.0078,0.0361,0.041,0.0975,0.0444,0.1034,0.0029,0.7838,0.0205,0.0112,0.0454
2025-02-21,0.0057,0.0,0.0,0.0092,0.4128,0.0006,0.262,0.0797,0.0063,0.0,0.0097,0.0069,0.0,0.1938,0.0596,0.1863,0.0,0.0579,0.0,0.0023,0.0023,0.0029,0.2981,0.0527,0.0011,0.1691,0.2076,0.0063,0.0837,0.1445,0.0,0.0023,0.0143,0.0871,0.0057,0.0166,0.0361,0.1342,0.0155,0.1181,0.004,0.8113,0.0229,0.0401,0.0321
2025-02-22,0.0037,0.0,0.0,0.0065,0.2431,0.0,0.0946,0.0501,0.0093,0.0,0.0028,0.0093,0.0,0.206,0.1308,0.0863,0.0028,0.0668,0.0,0.0028,0.0037,0.0037,0.1809,0.0334,0.0009,0.2338,0.4018,0.0028,0.2514,0.0965,0.0,0.0009,0.0009,0.0714,0.0093,0.0158,0.0223,0.0742,0.0148,0.1039,0.0028,0.6235,0.0269,0.0111,0.0158
2025-02-23,0.0026,0.0,0.0,0.0026,0.1972,0.0009,0.0815,0.0386,0.0034,0.0,0.0034,0.0043,0.0,0.4064,0.018,0.1363,0.0009,0.0214,0.0,0.0017,0.0,0.0009,0.072,0.0429,0.0009,0.0763,0.1449,0.006,0.4073,0.1449,0.0,0.0034,0.0,0.0755,0.0043,0.0034,0.0257,0.0386,0.0026,0.096,0.0069,0.3893,0.018,0.0103,0.0317
2025-02-24,0.0155,0.0,0.0,0.0155,0.3309,0.0007,0.1459,0.0652,0.0052,0.0,0.0304,0.003,0.0,0.3176,0.0518,0.385,0.0007,0.0511,0.0,0.0015,0.0007,0.0007,0.1259,0.0577,0.0015,0.1399,0.114,0.0096,0.3665,0.1377,0.0,0.0015,0.0015,0.074,0.003,0.0067,0.0281,0.0881,0.0052,0.0859,0.0022,0.4457,0.0148,0.0104,0.0296
2025-02-25,0.0011,0.0,0.0,0.0071,0.4389,0.0011,0.1991,0.0625,0.0159,0.0,0.0291,0.0148,0.0005,0.4334,0.0669,0.1503,0.0011,0.0795,0.0,0.0011,0.0038,0.0011,0.2375,0.039,0.0005,0.192,0.0971,0.0093,0.2074,0.0795,0.0,0.0044,0.0148,0.1295,0.0088,0.0159,0.0477,0.1415,0.0082,0.1169,0.0044,0.5316,0.023,0.0148,0.0411
2025-02-26,0.0164,0.0,0.0,0.0022,0.3561,0.0005,0.1671,0.0876,0.0022,0.0,0.0208,0.092,0.0,0.2679,0.1391,0.0564,0.0022,0.178,0.0,0.0038,0.0033,0.0055,0.3643,0.0301,0.0027,0.1238,0.0767,0.1178,0.1298,0.1709,0.0,0.0011,0.0153,0.0783,0.0099,0.0279,0.0471,0.1364,0.0082,0.0718,0.011,0.665,0.017,0.0142,0.0274
2025-02-27,0.0098,0.0,0.0,0.0069,0.4776,0.5227,0.2828,0.0688,0.0046,0.0,0.0098,0.0266,0.0,0.1405,0.0966,0.0625,0.0012,0.2093,0.0,0.0069,0.0052,0.0023,0.2128,0.033,0.0046,0.1278,0.0925,0.0387,0.0723,0.0792,0.0,0.0006,0.011,0.0474,0.0087,0.0665,0.0515,0.1237,0.004,0.0937,0.0035,0.5198,0.0121,0.011,0.0353
2025-02-28,0.0056,0.0,0.0,0.0037,0.7208,0.5226,0.2878,0.1266,0.0006,0.0,0.0161,0.0198,0.0031,0.2761,0.0945,0.152,0.0037,0.1872,0.0,0.0025,0.0049,0.0025,0.1662,0.0426,0.0006,0.1081,0.1032,0.0031,0.1711,0.2051,0.0,0.0012,0.0124,0.0463,0.0111,0.0161,0.0593,0.0852,0.0068,0.1062,0.0074,0.5714,0.0185,0.0111,0.0507
