date,damar hamlin,gaza,damar hamlin update,bud light,travis kelce,isPartial,vivek ramaswamy,first republic bank,chatgpt,palestine,matthew perry,isPartial,chat gpt,government shutdown,bryan kohberger,israel,israel news,isPartial,ai,chris christie,taylor swift,military news,shohei ohtani,isPartial,ufo,kevin mccarthy,lamar jackson,messi,cybertruck,isPartial,desantis,layoffs,ron desantis,artificial intelligence,aaron rodgers,isPartial,buffalo bills,eagles,derrick henry,detroit lions,chiefs,isPartial,xrp,weather today,britney spears,miami heat,lebron james,isPartial,prince harry,nvidia,turkey,real madrid,wwe,isPartial,wwe news,tesla,philadelphia eagles,lakers,donald trump,isPartial
2023-10-01,0,5,0,0,9,False,0,0,38,3,0,False,11,1,0,13,2,False,94,0,30,0,0,False,4,11,1,25,1,False,4,4,2,9,6,False,7,33,1,4,45,False,4,47,5,2,4,False,1,6,16,48,8,False,0,28,2,4,4,False
2023-10-08,0,57,0,0,6,False,0,0,39,38,0,False,12,0,0,100,11,False,92,0,32,0,0,False,4,1,1,26,1,False,4,5,2,9,3,False,7,34,1,8,52,False,4,41,4,2,4,False,1,7,18,17,9,False,0,25,2,9,3,False
2023-10-15,0,34,0,0,6,False,0,0,40,24,0,False,12,0,0,45,5,False,86,0,33,0,0,False,4,0,1,29,2,False,4,7,2,9,3,False,8,40,1,8,18,False,4,50,16,2,3,False,1,7,15,25,7,False,0,28,2,6,3,False
2023-10-22,0,19,0,0,6,False,0,0,41,15,0,False,12,0,0,27,3,False,87,0,37,0,0,False,4,0,1,25,1,False,2,5,1,9,2,False,10,42,3,7,34,False,6,36,21,3,6,False,1,7,15,65,7,False,0,26,3,15,3,False
2023-10-29,0,18,0,0,4,False,0,0,39,14,100,False,12,0,0,25,2,False,90,0,30,0,0,False,3,0,1,49,1,False,7,6,5,9,3,False,4,34,3,10,37,False,7,41,12,3,5,False,1,7,18,19,8,False,0,26,2,16,3,False
2023-11-05,0,13,0,0,3,False,1,0,43,12,6,False,14,0,0,20,2,False,96,0,31,0,0,False,3,0,1,23,2,False,8,5,5,9,4,False,6,43,0,4,45,False,10,49,8,3,6,False,1,7,24,52,8,False,0,26,2,14,4,False
2023-11-12,0,11,0,0,6,False,0,0,42,9,3,False,13,1,0,19,2,False,93,0,39,0,1,False,4,0,2,21,2,False,3,5,2,9,3,False,8,22,1,8,19,False,6,39,6,4,5,False,1,8,38,15,7,False,0,26,1,14,3,False
2023-11-19,0,8,0,0,4,False,0,0,43,7,1,False,14,0,0,15,1,False,100,0,33,0,0,False,5,0,1,24,2,False,3,3,2,9,4,False,6,59,1,14,53,False,5,41,7,4,6,False,1,9,93,13,8,False,0,25,3,13,3,False
2023-11-26,0,5,0,0,3,False,0,0,45,5,1,False,14,0,0,11,1,False,96,0,25,0,1,False,4,0,1,20,10,False,14,4,3,9,4,False,7,51,1,3,33,False,5,58,6,3,6,False,1,8,19,50,13,False,0,29,4,13,3,False
2023-12-03,0,7,0,0,3,False,0,0,44,5,1,False,14,0,0,10,1,False,100,0,27,0,4,False,4,1,1,19,8,False,6,5,2,9,4,False,3,50,1,6,40,False,6,54,5,3,6,False,1,8,15,24,8,False,0,30,3,18,3,False
2023-12-10,0,7,0,0,3,False,1,0,43,5,3,False,14,0,0,9,1,False,100,0,29,0,4,False,3,0,1,19,4,False,7,5,2,9,3,False,7,50,1,7,38,False,6,37,4,3,8,False,2,8,15,28,8,False,0,27,3,19,3,False
2023-12-17,0,5,0,0,3,False,0,0,37,4,1,False,11,0,0,8,1,False,92,0,21,0,1,False,4,0,2,18,3,False,3,3,1,8,4,False,8,47,1,8,28,False,5,38,4,3,5,False,2,8,20,39,8,False,0,28,3,11,4,False
2023-12-24,0,5,0,0,3,False,0,0,27,4,1,False,8,0,0,9,1,False,87,0,22,0,1,False,4,0,3,20,3,False,3,2,2,7,4,False,9,41,1,10,43,False,5,39,4,4,7,False,2,8,30,13,8,False,0,29,2,14,3,False
2023-12-31,0,4,0,0,3,False,0,0,32,3,1,False,9,0,0,8,1,False,94,0,20,0,0,False,4,0,4,22,2,False,3,3,1,8,10,False,7,38,1,10,33,False,6,49,5,3,6,False,1,7,14,40,9,False,0,26,2,14,4,False
